"UTC","LocalTime","Machine","User","PID","Basename","ActionId","Action","Info","Path","CommandLine"
"133434388918100926","11-02-2023 23:48:11","KIRBYOS","SYSTEM","3400","processgovernor.exe","59","(0x3b) Configuration file loaded","ERROR loading configuration - code 2","C:\Program Files\Process Lasso","<Not included by option>"
"133434388918100926","11-02-2023 23:48:11","KIRBYOS","SYSTEM","3400","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: C:\ProgramData\ProcessLasso\config\prolasso.ini","C:\Program Files\Process Lasso","<Not included by option>"
"133434388918100926","11-02-2023 23:48:11","KIRBYOS","SYSTEM","3400","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.0.0.23 BETA (5650100) (c)2022 Bitsum LLC","C:\Program Files\Process Lasso","<Not included by option>"
"133434388918100926","11-02-2023 23:48:11","KIRBYOS","SYSTEM","3400","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
"133434390971104515","11-02-2023 23:51:37","KIRBYOS","SYSTEM","2228","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: C:\ProgramData\ProcessLasso\config\prolasso.ini","C:\Program Files\Process Lasso","<Not included by option>"
"133434390971104515","11-02-2023 23:51:37","KIRBYOS","SYSTEM","2228","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.0.0.23 BETA (5650100) (c)2022 Bitsum LLC","C:\Program Files\Process Lasso","<Not included by option>"
"133434390971104515","11-02-2023 23:51:37","KIRBYOS","SYSTEM","2228","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
"133434405769337953","11-03-2023 00:16:16","KIRBYOS","SYSTEM","2696","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: C:\ProgramData\ProcessLasso\config\prolasso.ini","C:\Program Files\Process Lasso","<Not included by option>"
"133434405769337953","11-03-2023 00:16:16","KIRBYOS","SYSTEM","2696","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.0.0.23 BETA (5650100) (c)2022 Bitsum LLC","C:\Program Files\Process Lasso","<Not included by option>"
"133434405769337953","11-03-2023 00:16:16","KIRBYOS","SYSTEM","2696","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
"133434416122063370","11-03-2023 00:33:32","KIRBYOS","SYSTEM","2688","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: C:\ProgramData\ProcessLasso\config\prolasso.ini","C:\Program Files\Process Lasso","<Not included by option>"
"133434416122063370","11-03-2023 00:33:32","KIRBYOS","SYSTEM","2688","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.0.0.23 BETA (5650100) (c)2022 Bitsum LLC","C:\Program Files\Process Lasso","<Not included by option>"
"133434416122063370","11-03-2023 00:33:32","KIRBYOS","SYSTEM","2688","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
